Calcium,mg/l,270,61,63
Magnesium,mg/l,50,"7,2","4,6"
Fofsor,μgP/l,,"32,98","35,73"
Kalium,mg/l,,4,"6,4"
Totale hardheid,°F,"15 - 67,5","18,3","17,6"
Zink,μg/l,5000,7,< 5
