Deel A: Microbiologische parameters,,,,
Escherichia coli (E. coli),kve/100ml,0,< 1,< 1
Enterococcen,kve/100ml,0,< 1,< 1
Deel B: chemische parameters,,,,
Antimoon,μg/l,5,"< 0,5","< 0,5"
Arseen,μg/l,10,"< 1,0","< 1,0"
Benzeen,μg/l,1,"< 0,10","< 0,10"
Benzo(a)pyreen,μg/l,"0,01","< 0,0050","< 0,0050"
Boor,mg/l,1,"0,043","0,06"
Bromaat,μg/l,10,"< 5,0","< 5,0"
Cadmium,μg/l,5,"0,24","< 0,10"
Chroom,μg/l,50,"< 1,0","< 1,0"
Koper,mg/l,2,"0,005","0,008"
Cyanide,μg/l,50,< 2,< 2
"1,2-Dichloorethaan",μg/l,3,"< 0,10","< 0,10"
Fluoride,mg/l,"1,5","0,38","0,16"
Lood,μg/l,10,"< 0,1","< 0,1"
Kwik,μg/l,1,"< 0,04","< 0,04"
Nikkel,μg/l,20,"1,7","< 1,0"
Nitraat,mg/l,50,"10,9","1,7"
Nitriet,mg/l,"0,1","< 0,02","< 0,02"
Pesticiden totaal,μg/l,"0,5",NA,NA
Atrazine,μg/l,"0,1","< 0,020","< 0,020"
Simazine,μg/l,"0,1","< 0,020","< 0,020"
Terbutylazine,μg/l,"0,1","< 0,020","< 0,020"
Chloortoluron,μg/l,"0,1","< 0,020","< 0,020"
Diuron,μg/l,"0,1","< 0,020","< 0,020"
Isoproturon,μg/l,"0,1","< 0,020","< 0,020"
Polycyclische aromatische koolwaterstoffen,μg/l,"0,1",NA,NA
Seleen,μg/l,10,"< 1,0","< 1,0"
Tetra- en trichlooretheen,μg/l,10,NA,NA
Trihalomethanen - totaal,μg/l,100,"28,2","1,3"
Broomdichloormethaan,μg/l,60,3,"< 0,1"
Styreen,μg/l,20,"< 0,10","< 0,10"
Xyleen,μg/l,500,NA,NA
Trichlorobenzenen -totaal,μg/l,20,NA,NA
Deel C: Indicatorparameters,,,,
Aluminium,μg/l,200,33,3
Ammonium,mg/l,"0,5","< 0,02","< 0,02"
Chloride,mg/l,250,48,16
Clostridium perfringens (+sporen),kve/100ml,0,< 1,< 1
Kleur,mg/l Pt-Co,GAV,< 3,4
Geleidingsvermogen voor elektriciteit,μS/cm-20°C,2100 ; GAV,502,374
Waterstofionenconcentratie,pH,">6,5 en <9,2",8,"8,19"
IJzer,μg/l,200,< 10,< 10
Mangaan,μg/l,50,< 1,< 1
Geur,-,GAV,Afwezig,Afwezig
Sulfaat,mg/l,250,54,15
Natrium,mg/l,200,35,13
Smaak,-,GAV,Afwezig,Afwezig
Telling kolonies bij 22°C,kve/ml,GAV,2,4
Colibacteriën,kve/100ml,0,< 1,< 1
Organische koolstof totaal (TOC),mg/l,GAV,"1,9","2,4"
Troebelingsgraad,NTU,GAV,"< 0,2","< 0,2"
Vrije chloorresten,μg/l,250,205,< 49
Temperatuur,°C,25,"13,6","11,4"
Deel D: Aanvullende parameters,,,,
